Zipcode,City,State,TaxReturnsFiled,EstimatedPopulation,TotalWages,County
00501,HOLTSVILLE,NY,259,384,2147073,Suffolk
01001,AGAWAM,MA,8596,14021,337735143,Hampden
01002,AMHERST,MA,10167,16532,415081243,Hampshire
01004,AMHERST,MA,496,742,17272423,Hampshire
01005,BARRE,MA,2223,3935,93221235,Worcester
01007,BELCHERTOWN,MA,7097,12895,342529324,Hampshire
01008,BLANDFORD,MA,646,1153,27475763,Hampden
01009,BONDSVILLE,MA,659,1055,21809651,Hampden
01010,BRIMFIELD,MA,1852,3312,88271019,Hampden
01011,CHESTER,MA,582,1012,21936991,Hampden
01012,CHESTERFIELD,MA,374,639,13500566,Hampshire
01013,CHICOPEE,MA,10321,16669,308247724,Hampden
01020,CHICOPEE,MA,15184,24570,513706179,Hampden
01021,CHICOPEE,MA,328,509,9048762,Hampden
01022,CHICOPEE,MA,1158,1713,38014417,Hampden
01026,CUMMINGTON,MA,520,865,15391058,Hampshire
01027,EASTHAMPTON,MA,9614,15525,368520221,Hampshire
01028,EAST LONGMEADOW,MA,7793,14024,408672864,Hampden
01029,EAST OTIS,MA,303,509,11342709,Berkshire
01030,FEEDING HILLS,MA,5881,10449,270491031,Hampden
01031,GILBERTVILLE,MA,555,932,17660731,Worcester
01032,GOSHEN,MA,294,489,9279030,Hampshire
01033,GRANBY,MA,3186,5647,139182791,Hampshire
01034,GRANVILLE,MA,985,1787,45589776,Hampden
01035,HADLEY,MA,2617,4327,97134728,Hampshire
01036,HAMPDEN,MA,2613,4700,129484906,Hampden
01037,HARDWICK,MA,388,714,17327614,Worcester
01038,HATFIELD,MA,1300,2161,53672742,Hampshire
01039,HAYDENVILLE,MA,747,1228,31238572,Hampshire
01040,HOLYOKE,MA,16192,26316,485125311,Hampden
01041,HOLYOKE,MA,606,997,14650215,Hampden
01050,HUNTINGTON,MA,1317,2282,51952670,Hampshire
01053,LEEDS,MA,895,1407,34015029,Hampshire
01054,LEVERETT,MA,968,1620,41254068,Franklin
01056,LUDLOW,MA,10152,17529,404031435,Hampden
01057,MONSON,MA,4206,7429,180005082,Hampden
01060,NORTHAMPTON,MA,7233,10304,262164257,Hampshire
01061,NORTHAMPTON,MA,331,423,10230348,Hampshire
01062,FLORENCE,MA,5718,9483,237645187,Hampshire
01068,OAKHAM,MA,1005,1807,47454439,Worcester
01069,PALMER,MA,4124,6950,160619305,Hampden
01070,PLAINFIELD,MA,278,467,7972234,Hampshire
01071,RUSSELL,MA,780,1376,33141462,Hampden
01072,SHUTESBURY,MA,729,1269,27771397,Franklin
01073,SOUTHAMPTON,MA,3043,5385,147755801,Hampshire
01074,SOUTH BARRE,MA,311,525,9853674,Worcester
01075,SOUTH HADLEY,MA,8670,14184,350679905,Hampshire
01077,SOUTHWICK,MA,4912,8567,237666692,Hampden
01079,THORNDIKE,MA,470,766,14912149,Hampden
01080,THREE RIVERS,MA,1168,1888,35086899,Hampden
